order	folder	vid.no	ek.no	easting	northing	month	day	hour	minute
537	C6(2)	138	204	690977	641224	9	3	7	35
645	D5	33	63	692006	642200	8	31	7	35
798	E6(2)	37	62	692974	641159	9	5	7	35
165	B2(2)	22	59	690010	645198	9	3	7	36
196	B2(3)	2	11	690010	645198	9	10	7	36
538	C6(2)	139	205	690977	641224	9	3	7	37
752	E6(1)	22	58	692974	641159	8	6	7	37
88	A3(3)	51	85	689007	644158	9	16	7	39
455	C6(2)	56	85	690977	641224	8	15	7	39
790	E6(2)	29	49	692974	641159	9	2	7	39
610	D4	16	67	691993	643181	9	18	7	41
817	E6(2)	56	91	692974	641159	9	12	7	41
679	E3(1)	12	22	692983	644219	7	13	7	42
50	A3(3)	13	21	689007	644158	8	26	7	43
809	E6(2)	48	81	692974	641159	9	10	7	43
41	A3(3)	4	10	689007	644158	8	22	7	44
276	C3(3)	8	21	690995	644190	7	26	7	46
810	E6(2)	49	82	692974	641159	9	10	7	46
815	E6(2)	54	88	692974	641159	9	11	7	46
198	B2(3)	4	13	690010	645198	9	11	7	47
69	A3(3)	32	56	689007	644158	9	9	7	49
155	B2(2)	12	38	690010	645198	8	29	7	49
456	C6(2)	57	86	690977	641224	8	15	7	49
467	C6(2)	68	101	690977	641224	8	17	7	49
259	C2(2)	3	42	691012	645186	8	3	7	50
711	E5(1)	9	31	692995	642203	8	1	7	50
811	E6(2)	50	83	692974	641159	9	10	7	50
468	C6(2)	69	102	690977	641224	8	17	7	51
509	C6(2)	110	163	690977	641224	8	25	7	51
409	C6(2)	10	34	690977	641224	8	11	7	54
754	E6(1)	24	64	692974	641159	8	11	7	54
120	A4	12	33	688999	643213	8	25	7	55
781	E6(2)	20	37	692974	641159	8	29	7	55
566	D3(1)	1	17	692017	644193	7	19	7	57
647	D5	35	67	692006	642200	9	5	7	58
457	C6(2)	58	87	690977	641224	8	15	7	59
783	E6(2)	22	42	692974	641159	8	31	7	59
727	E5(1)	25	103	692995	642203	9	15	8	1
784	E6(2)	23	43	692974	641159	8	31	8	1
45	A3(3)	8	14	689007	644158	8	24	8	2
413	C6(2)	14	38	690977	641224	8	12	8	5
414	C6(2)	15	39	690977	641224	8	12	8	6
791	E6(2)	30	50	692974	641159	9	3	8	7
241	B4	7	27	690006	643198	8	21	8	9
258	C2(2)	2	36	691012	645186	7	23	8	9
482	C6(2)	83	122	690977	641224	8	19	8	9
227	B2(3)	33	66	690010	645198	9	21	8	10
556	C6(2)	157	235	690977	641224	9	10	8	10
149	B2(2)	6	15	690010	645198	8	23	8	11
78	A3(3)	41	71	689007	644158	9	13	8	13
353	C4(2)	2	36	691005	643201	8	22	8	13
130	A4	22	47	688999	643213	9	11	8	14
228	B2(3)	34	67	690010	645198	9	21	8	14
592	D3(2)	24	82	692017	644193	9	20	8	15
135	A4	27	52	688999	643213	9	13	8	16
231	B3(2)	1	7	690017	644206	8	16	8	16
779	E6(2)	18	33	692974	641159	8	28	8	16
115	A4	7	28	688999	643213	8	19	8	17
431	C6(2)	32	56	690977	641224	8	13	8	17
131	A4	23	48	688999	643213	9	11	8	18
105	A3(3)	68	111	689007	644158	9	21	8	19
476	C6(2)	77	115	690977	641224	8	18	8	19
158	B2(2)	15	47	690010	645198	9	1	8	20
713	E5(1)	11	44	692995	642203	8	6	8	20
760	E6(1)	30	83	692974	641159	8	16	8	20
755	E6(1)	25	67	692974	641159	8	12	8	22
132	A4	24	49	688999	643213	9	11	8	25
253	C2(1)	2	759	691012	645186	7	2	8	25
376	C6(1)	8	21	690977	641224	7	10	8	25
89	A3(3)	52	88	689007	644158	9	16	8	26
279	C3(3)	11	24	690995	644190	7	28	8	27
669	E3(1)	2	8	692983	644219	7	8	8	27
785	E6(2)	24	44	692974	641159	8	31	8	31
432	C6(2)	33	57	690977	641224	8	13	8	33
827	E6(2)	66	107	692974	641159	9	16	8	33
410	C6(2)	11	35	690977	641224	8	11	8	34
743	E6(1)	13	33	692974	641159	7	28	8	34
828	E6(2)	67	108	692974	641159	9	16	8	34
741	E6(1)	11	27	692974	641159	7	21	8	35
240	B4	6	22	690006	643198	8	14	8	39
190	B2(2)	47	93	690010	645198	9	8	8	42
697	E3(1)	30	60	692983	644219	8	6	8	43
778	E6(2)	17	31	692974	641159	8	27	8	43
42	A3(3)	5	11	689007	644158	8	22	8	44
710	E5(1)	8	28	692995	642203	7	30	8	44
10	A1(2)	9	42	689991	646193	8	23	8	45
547	C6(2)	148	223	690977	641224	9	7	8	45
593	D3(2)	25	83	692017	644193	9	20	8	45
191	B2(2)	48	94	690010	645198	9	8	8	47
719	E5(1)	17	75	692995	642203	8	24	8	47
217	B2(3)	23	54	690010	645198	9	20	8	48
648	D5	36	70	692006	642200	9	9	8	48
218	B2(3)	24	55	690010	645198	9	20	8	49
514	C6(2)	115	172	690977	641224	8	27	8	49
300	C3(3)	32	50	690995	644190	8	5	8	50
